Source,Target,RespondentType,ConnectionCount
Amazon Q,Amazon Q,Learning to Code,27
Amazon Q,Amazon Q,Other Coders,70
Amazon Q,Amazon Q,Professional Developers,459
Amazon Q,Andi,Learning to Code,8
Amazon Q,Andi,Other Coders,7
Amazon Q,Andi,Professional Developers,15
Amazon Q,AskCodi,Learning to Code,10
Amazon Q,AskCodi,Other Coders,10
Amazon Q,AskCodi,Professional Developers,18
Amazon Q,Bing AI,Learning to Code,19
Amazon Q,Bing AI,Other Coders,31
Amazon Q,Bing AI,Professional Developers,118
Amazon Q,ChatGPT,Learning to Code,27
Amazon Q,ChatGPT,Other Coders,96
Amazon Q,ChatGPT,Professional Developers,624
Amazon Q,Claude,Learning to Code,13
Amazon Q,Claude,Other Coders,40
Amazon Q,Claude,Professional Developers,183
Amazon Q,Codeium,Learning to Code,15
Amazon Q,Codeium,Other Coders,31
Amazon Q,Codeium,Professional Developers,97
Amazon Q,Cody,Learning to Code,9
Amazon Q,Cody,Other Coders,16
Amazon Q,Cody,Professional Developers,37
Amazon Q,GitHub Copilot,Learning to Code,19
Amazon Q,GitHub Copilot,Other Coders,65
Amazon Q,GitHub Copilot,Professional Developers,468
Amazon Q,Google Gemini,Learning to Code,20
Amazon Q,Google Gemini,Other Coders,60
Amazon Q,Google Gemini,Professional Developers,272
Amazon Q,Lightning AI,Learning to Code,12
Amazon Q,Lightning AI,Other Coders,12
Amazon Q,Lightning AI,Professional Developers,26
Amazon Q,Meta AI,Learning to Code,16
Amazon Q,Meta AI,Other Coders,23
Amazon Q,Meta AI,Professional Developers,82
Amazon Q,Metaphor,Learning to Code,8
Amazon Q,Metaphor,Other Coders,11
Amazon Q,Metaphor,Professional Developers,18
Amazon Q,Neeva AI,Learning to Code,11
Amazon Q,Neeva AI,Other Coders,11
Amazon Q,Neeva AI,Professional Developers,18
Amazon Q,OpenAI Codex,Learning to Code,13
Amazon Q,OpenAI Codex,Other Coders,20
Amazon Q,OpenAI Codex,Professional Developers,49
Amazon Q,Perplexity AI,Learning to Code,15
Amazon Q,Perplexity AI,Other Coders,28
Amazon Q,Perplexity AI,Professional Developers,108
Amazon Q,Phind,Learning to Code,13
Amazon Q,Phind,Other Coders,21
Amazon Q,Phind,Professional Developers,45
Amazon Q,Quora Poe,Learning to Code,13
Amazon Q,Quora Poe,Other Coders,10
Amazon Q,Quora Poe,Professional Developers,24
Amazon Q,Replit Ghostwriter,Learning to Code,9
Amazon Q,Replit Ghostwriter,Other Coders,11
Amazon Q,Replit Ghostwriter,Professional Developers,19
Amazon Q,Snyk Code,Learning to Code,12
Amazon Q,Snyk Code,Other Coders,18
Amazon Q,Snyk Code,Professional Developers,37
Amazon Q,Tabnine,Learning to Code,14
Amazon Q,Tabnine,Other Coders,15
